Designator,Mid X,Mid Y,Rotation,Layer
RN1,141.519,-110.92826,90.0,top
RN2,124.55,-111.35,0.0,top
RN3,134.569,-111.32826,0.0,top
RN4,145.369,-110.92826,270.0,top
RN5,130.569,-111.34076,180.0,top
RN7,87.5,-111.35,180.0,top
SHA1,60.4795,-89.5983,90.0,top
SHA2,80.2915,-89.5983,90.0,top
SHA3,70.3855,-89.5983,90.0,top
SHB1,92.3423,-89.76,90.0,top
SHB2,102.47,-89.76,90.0,top
SHB3,112.6623,-89.76,90.0,top
SHC1,125.042,-89.7204,90.0,top
SHC2,134.864,-89.7204,90.0,top
SHC3,145.0,-89.7204,90.0,top
TH1,96.65,-77.925,90.0,top
U1,78.619,-105.925,90.0,top
U2,85.625,-105.925,90.0,top
U3,92.65,-105.95,90.0,top
U4,106.25,-108.26,270.0,top
